refYear,country,imports,exports,total_trade,import_export_ratio,prev_trade,yoy_change,volatility_score,dependency_score,year,event_count,avg_goldstein,avg_tone,conflict_ratio,disruption_index,risk_label,node_id,predicted_risk,prob_low,prob_medium,prob_high,confidence,risk_category,total_trade_B,imports_B,exports_B,yoy_pct,risk_score,phase,phase_order,country_tableau,confidence_pct,confidence_bucket,trade_balance_type
2019,Canada,0.0060412476662363,0.0055389792231618,3407058673.766,1.573212362054194,0.0,0.0257574309132079,0.0026959227475949,0.3654373943985695,2019.0,0.1877294263068479,0.6214994017274368,0.1908753738868974,0.7331153685761853,0.22637445428168,0,Canada_2019,0,0.9092241,0.00299863,0.08777722,0.9092241,Low,3.407,0.021,0.019,2.58,39.0,Pre-COVID (2019),1,Canada,90.9,High (≥80%),Import-heavy
2020,Canada,0.0055514367598278,0.0042562288909547,2947787696.525,1.851786301267712,3407058673.766,0.0218963400426219,0.0026959227475949,0.3654373943985695,2020.0,0.1529756407987496,0.7209923078032047,0.2563096491082233,0.6278779395527921,0.2163600492761864,0,Canada_2020,0,0.954176,0.0010356539,0.04478836,0.954176,Low,2.948,0.016,0.013,2.19,37.3,COVID Shock (2020),2,Canada,95.4,High (≥80%),Import-heavy
2021,Canada,0.0068301866185836,0.005007970797646,3558875123.872,1.9562675403965728,2947787696.525,0.0316952611970081,0.0026959227475949,0.3654373943985695,2021.0,0.1297438582341718,0.6467722045029052,0.2233702525138876,0.7328175846164436,0.2307668406071777,0,Canada_2021,0,0.9814913,0.002485534,0.016023153,0.9814913,Low,3.559,0.024,0.018,3.17,39.8,Recovery (2021),3,Canada,98.1,High (≥80%),Import-heavy
2022,Canada,0.00926860903128,0.0065098575720805,4739630833.324,2.070040542974022,3558875123.872,0.0352605886629116,0.0026959227475949,0.3654373943985695,2022.0,0.1426295721390276,0.7515031128419194,0.2513136597588628,0.6210446348417427,0.2175083043586508,0,Canada_2022,0,0.9789965,0.009864208,0.011139265,0.9789965,Low,4.74,0.044,0.031,3.53,37.5,Post-COVID (2022),4,Canada,97.9,High (≥80%),Import-heavy
2019,China,0.0,0.544672408361846,123371457743.0,0.0,0.0,0.0257574309132079,1.0,0.091655192719991,2019.0,0.4096961980713771,0.9339988647793004,0.61511550623772,0.5281948768982571,0.4688060665211499,2,China_2019,2,0.020087598,0.023511296,0.95640105,0.95640105,High,123.371,0.0,67.197,2.58,80.8,Pre-COVID (2019),1,China,95.6,High (≥80%),Export-heavy
2020,China,0.0,0.6063547251257209,137334915643.0,0.0,123371457743.0,0.0289993257103986,1.0,0.091655192719991,2020.0,0.3842246782987784,0.8153057279919637,0.2205581436228965,0.653719667360879,0.448827427788499,2,China_2020,2,0.036477588,0.022746261,0.9407761,0.9407761,High,137.335,0.0,83.274,2.9,77.4,COVID Shock (2020),2,China,94.1,High (≥80%),Export-heavy
2021,China,1.0,0.8112475325182079,528515899760.0,1.8767790138198408,137334915643.0,0.1073437620372404,1.0,0.091655192719991,2021.0,0.3117386180438508,0.8913099401195347,0.517457696607224,0.6067690419050435,0.4871436765339247,2,China_2021,1,0.096941054,0.865676,0.037382945,0.865676,Medium,528.516,528.516,428.757,10.73,84.0,Recovery (2021),3,China,86.6,High (≥80%),Import-heavy
2022,China,0.9225552814948708,0.8872920113076039,519027839506.0,1.5830935088110214,528515899760.0,0.0252432215140559,1.0,0.091655192719991,2022.0,0.2971857449107665,0.90275446367654,0.6194518978373766,0.5499781931547147,0.4724043612397538,2,China_2022,1,0.09745288,0.90236133,0.00018574727,0.90236133,Medium,519.028,478.832,460.529,2.52,81.5,Post-COVID (2022),4,China,90.2,High (≥80%),Import-heavy
2019,"China, Hong Kong SAR",0.3964619073067813,0.6425399521950825,282225677596.714,0.9393432467535392,0.0,0.0257574309132079,0.3394135276760368,0.9762781665948926,2019.0,0.0005581280623213,0.6832394031290785,0.788135702865757,1.0,0.5798586564207515,1,"China, Hong Kong SAR_2019",1,0.02278348,0.7774722,0.19974436,0.7774722,Medium,282.226,111.892,181.341,2.58,100.0,Pre-COVID (2019),1,Hong Kong,77.7,Medium (50-80%),Balanced
2020,"China, Hong Kong SAR",0.4259728871264439,0.7284402798714092,311846861964.689,0.8902985812727262,282225677596.714,0.0287636908463309,0.3394135276760368,0.9762781665948926,2020.0,0.0005129720702241,0.4054267006628796,0.7112965721515351,0.8284113395213188,0.5470376962641518,1,"China, Hong Kong SAR_2020",1,0.012644309,0.8576219,0.12973385,0.8576219,Medium,311.847,132.838,227.162,2.88,94.3,COVID Shock (2020),2,Hong Kong,85.8,High (≥80%),Balanced
